,id,num,run,amplitude_difference
155,001,1200,12,-3.759011029723861e-07
156,001,100,13,3.4889099922787776e-06
157,001,200,13,1.6225774940163003e-06
158,001,300,13,8.486615034670663e-07
159,001,400,13,6.341929887693632e-07
160,001,500,13,9.64969031953943e-07
161,001,600,13,9.515376553767854e-07
162,001,700,13,6.940455361934126e-07
163,001,800,13,3.5695611365668624e-07
164,001,900,13,1.4099427820732923e-07
165,001,1000,13,2.1013086305077848e-07
166,001,1100,13,3.0858726099408816e-08
167,001,1200,13,2.712029968058731e-07
168,001,100,14,1.6791555584406987e-07
169,001,200,14,7.825097968448766e-08
170,001,300,14,3.5411204783567074e-07
171,001,400,14,5.418190977172993e-07
172,001,500,14,2.92461733065534e-07
173,001,600,14,-3.445605863873606e-08
174,001,700,14,-1.4704108248090778e-07
175,001,800,14,-3.2509886417485084e-08
176,001,900,14,1.0950446091133095e-07
177,001,1000,14,3.8785486218421466e-07
178,001,1100,14,4.382143202588612e-07
179,001,1200,14,1.9907902735468327e-07
180,001,100,15,-6.518135434073072e-07
181,001,200,15,-6.828108535995556e-07
182,001,300,15,-2.320208186803185e-07
183,001,400,15,-6.596256504905923e-07
184,001,500,15,-5.092144700744062e-07
185,001,600,15,-8.793078762495661e-07
186,001,700,15,-3.681758528871631e-07
187,001,800,15,-2.7253092573628835e-07
188,001,900,15,-1.714791579762003e-07
189,001,1000,15,-7.600319069776358e-08
190,001,1100,15,1.0683979773654095e-07
191,001,1200,15,3.884201559241032e-07
192,001,100,16,5.487613559553832e-07
193,001,200,16,8.14133870191057e-07
194,001,300,16,2.577471786646715e-07
195,001,400,16,5.839000772024826e-07
196,001,500,16,5.330791620051498e-07
197,001,600,16,2.9132301382787042e-08
198,001,700,16,2.885066960700416e-07
199,001,800,16,5.518148782530342e-07
200,001,900,16,5.171904250634601e-07
201,001,1000,16,3.636659308928256e-07
202,001,1100,16,4.6755738535854415e-07
203,001,1200,16,3.988830026371045e-07
204,001,100,17,-1.9438016342600503e-06
205,001,200,17,-2.2689544095850134e-06
206,001,300,17,-1.077577089770843e-06
207,001,400,17,-1.9104872123566553e-07
208,001,500,17,5.315576888614832e-07
209,001,600,17,1.20983762475548e-07
210,001,700,17,1.3148980860681526e-07
